filename,caption,kind,colors,fit,style,material
shoe_7.jpeg,"Black athletic shoes, perfect for both casual wear and sports.",shoes,black,low top,"daily, sport","leather, cotton"
shoe_8.jpeg,Low-top black leather sneakers,shoes,black,low top,"elegant, daily",leather
shoe_9.jpeg,Classic Black Low-Top Suede Sneakers with a rubber sole,shoes,black,low top,"daily, party",leather
short_pants_0.jpeg,"Khaki brown shorts, comfortable fit, smooth front zipper closure, side pockets, belt loops",short pants,khaki brown,straight,"daily, party",cotton
short_pants_3.jpeg,"Dark khaki brown shorts in a comfortable straight fit, featuring side pockets and belt loops",short pants,khaki brown,straight,"daily, party",cotton
short_pants_4.jpeg,Short blue jeans in skinny fit with pockets ,short pants,blue,skinny,"dailt, party",jeans
short_pants_5.jpeg,"Denim jeans shorts, in a loose fir, perfect for a casual summer day. ",short pants,blue,loose,"daily, party, pool",jeans
short_pants_6.jpeg,classic mid-rise fit denim shorts in blue wash,short pants,blue,loose,"daily, party",jeans
sweater_0.jpeg,"Cozy crewneck sweater features a rustic pattern in earthy tones of blue, red and brown.",sweater,"navy blue, dark brown",casual,"daily, family",cotton
sweater_1.jpeg,"Color block sweater featuring brown, yellow, green and blue colors",sweater,"blue, green, yellow, orange, tan brown",slim,"daily, party",cotton
sweater_3.jpeg,"Crew-neck blue sweater from a soft, high-quality cotton comfortable everyday wear.",sweater,blue,slim,"daily, elegant",cotton
sweater_5.jpeg,"Striped Sweater, in earth-toned color palette with horizontal stripes.",sweater,"brown, red, blue",casual,"daily, elegant",cotton
sweatshirt_0.jpeg,"Stay cozy and stylish with our classic snug fit, cotton blend brown hoodie with a pouch",sweatshirt,brown,casual,daily,cotton
sweatshirt_1.jpeg,"Mustard yellow hoodie with ribbed cuffs, and a spacious kangaroo pocket",sweatshirt,yellow,casual,daily,cotton
sweatshirt_2.jpeg,"Pink hoodie, crafted from soft, breathable fabric for everyday wear. ",sweatshirt,pink,casual,daily,cotton
sweatshirt_3.jpeg,"Tan-colored hooded sweatshirt, featuring a vibrant, abstract paint stroke design for a touch of artistic flair.",sweatshirt,brown,loose,daily,cotton
sweatshirt_4.jpeg,"Green pullover hoodie, crafted from a comfortable cotton-blend fabric. It features a classic drawstring hood and kangaroo front pocket.",sweatshirt,green,casual,daily,cotton
swimsuit_0.jpeg,"black swim shorts, sleek design, adjustable drawstring waist, mid-thigh length",swimsuit,black,casual,sunny,linen
tanktop_0.jpeg,"Aqua Blue Tank Top, sleeveless style, soft cotton blend",tanktop,light blue,slim,"sunny, daily, sport",cotton
tanktop_1.jpeg,"Classic tank top in rich burgundy hue, soft, breathable fabric, comfortable fit and a scoop neckline",tanktop,red,slim,"sunny, daily, sport",cotton
tanktop_2.jpeg,"Stylish with this vibrant red tank top, designed for versatile wear. ",tanktop,red,slim,"sunny, daily, sport",cotton
tanktop_3.jpeg,Olive green racerback tank top combines style with comfort. ,tanktop,olive green,slim,"sunny, daily, sport",cotton
